"","negative","positive"
"separation",0.642585090068029,0.642585090068029
"propensity",0.586119639084413,0.586119639084413
"length",0.594913143366472,0.594913143366472
"PredSS_r1_.1",0.506829992610434,0.506829992610434
"PredSS_r1",0.516164038565346,0.516164038565346
"PredSS_r1_1",0.513595514174112,0.513595514174112
"PredSS_r2_.1",0.5058883550722,0.5058883550722
"PredSS_r2",0.509283787278107,0.509283787278107
"PredSS_freq_central_H",0.567266802919424,0.567266802919424
"PredSS_freq_central_E",0.536488058691603,0.536488058691603
"PredSS_freq_central_C",0.509709613084248,0.509709613084248
"PredCN_freq_central_0",0.504675464805338,0.504675464805338
"PredRCH_freq_central_0",0.547119156920656,0.547119156920656
"PredRCH_freq_central_1",0.514893878162323,0.514893878162323
"PredSA_freq_central_0",0.551497582235786,0.551497582235786
"PredSA_freq_central_4",0.528343655528803,0.528343655528803
"PredRCH_r1_.1",0.534792175706712,0.534792175706712
"PredRCH_r1",0.568974468511044,0.568974468511044
"PredRCH_r1_1",0.52842478925974,0.52842478925974
"PredRCH_r2_.1",0.526211203371202,0.526211203371202
"PredRCH_r2",0.56104543141734,0.56104543141734
"PredRCH_r2_1",0.533554136111539,0.533554136111539
"PredCN_r1_.1",0.549857634884791,0.549857634884791
"PredCN_r1",0.582556247087997,0.582556247087997
"PredCN_r1_1",0.541998252620477,0.541998252620477
"PredCN_r2",0.579767873889268,0.579767873889268
"PredSA_r1",0.580318440560582,0.580318440560582
"PredSA_r2_.1",0.470243471694602,0.470243471694602
"PredSA_r2",0.577088008922794,0.577088008922794
"PredSA_r2_1",0.459594404005058,0.459594404005058
"PredSS_freq_global_H",0.546919607200375,0.546919607200375
"PredCN_freq_global_0",0.557725186123296,0.557725186123296
"PredRCH_freq_global_0",0.541578261766042,0.541578261766042
"PredRCH_freq_global_4",0.507667921665755,0.507667921665755
"PredSA_freq_global_0",0.513694025792929,0.513694025792929
"AA_freq_central_A",0.528575598978675,0.528575598978675
"AA_freq_central_D",0.537571682934828,0.537571682934828
"AA_freq_central_E",0.54374655086269,0.54374655086269
"AA_freq_central_I",0.515462605014291,0.515462605014291
"AA_freq_central_F",0.532265408901751,0.532265408901751
"PSSM_r1_.4_A",0.480375796468394,0.480375796468394
"PSSM_r1_.4_N",0.486969451428969,0.486969451428969
"PSSM_r1_0_D",0.574852994228839,0.574852994228839
"PSSM_r1_1_W",0.496952607805005,0.496952607805005
"PSSM_r2_0_A",0.469334933646172,0.469334933646172
"PSSM_central_.2_A",0.50154103475074,0.50154103475074
"PSSM_central_.2_T",0.51304076883516,0.51304076883516
"PSSM_central_0_H",0.49356662796885,0.49356662796885
"PSSM_central_2_D",0.497309506518241,0.497309506518241
"PSSM_central_2_V",0.49973369395162,0.49973369395162
