separation,propensity,length,PredSS_r1_-1,PredSS_r1,PredSS_r1_1,PredSS_r2_-1,PredSS_r2,PredSS_freq_central_H,PredSS_freq_central_E,PredSS_freq_central_C,PredCN_freq_central_0,PredRCH_freq_central_0,PredRCH_freq_central_1,PredSA_freq_central_0,PredSA_freq_central_4,PredRCH_r1_-1,PredRCH_r1,PredRCH_r1_1,PredRCH_r2_-1,PredRCH_r2,PredRCH_r2_1,PredCN_r1_-1,PredCN_r1,PredCN_r1_1,PredCN_r2,PredSA_r1,PredSA_r2_-1,PredSA_r2,PredSA_r2_1,PredSS_freq_global_H,PredCN_freq_global_0,PredRCH_freq_global_0,PredRCH_freq_global_4,PredSA_freq_global_0,AA_freq_central_A,AA_freq_central_D,AA_freq_central_E,AA_freq_central_I,AA_freq_central_F,PSSM_r1_-4_A,PSSM_r1_-4_N,PSSM_r1_0_D,PSSM_r1_1_W,PSSM_r2_0_A,PSSM_central_-2_A,PSSM_central_-2_T,PSSM_central_0_H,PSSM_central_2_D,PSSM_central_2_V
11,-0.91658152710323,93,C,C,C,C,C,0.0,0.7,0.3,0.1,0.2,0.1,0.4,0.2,0,0,0,3,0,0,1,0,0,3,4,3,3,4,0.0,0.28,0.441,0.0,0.086,0.2,0.0,0.0,0.0,0.1,-2,-4,1,-4,-1,1,3,-4,-5,-3
39,-0.148597110527454,102,H,H,H,H,H,0.789,0.0,0.211,0.553,0.421,0.211,0.263,0.237,3,1,0,3,2,0,3,0,0,1,3,0,3,3,0.775,0.539,0.441,0.0,0.216,0.0,0.158,0.079,0.053,0.0,-2,-2,1,-5,-2,-2,-1,6,0,-3
87,-0.998127178764788,234,C,C,C,H,H,0.256,0.221,0.523,0.07,0.174,0.14,0.256,0.105,4,4,4,1,0,3,4,4,4,0,0,3,3,1,0.346,0.132,0.197,0.184,0.338,0.081,0.093,0.058,0.081,0.023,5,-5,9,-9,1,-3,-6,-3,-6,-7
52,-0.420304517284753,253,E,E,E,H,H,0.235,0.196,0.569,0.059,0.157,0.118,0.353,0.098,3,1,1,3,0,3,3,1,1,1,3,1,3,0,0.34,0.063,0.162,0.249,0.439,0.02,0.098,0.078,0.059,0.039,-2,-6,-3,-4,1,-2,-3,-3,-4,2
130,-0.334728526624013,164,C,C,C,H,H,0.612,0.0,0.388,0.264,0.31,0.163,0.217,0.256,0,1,0,3,1,1,1,0,1,0,4,0,3,3,0.567,0.323,0.372,0.037,0.201,0.054,0.054,0.078,0.085,0.016,-1,5,0,-4,0,0,0,4,-2,2
15,1.2402254703743,257,C,E,E,E,E,0.0,0.357,0.643,0.357,0.643,0.071,0.143,0.5,0,3,3,3,3,3,3,3,4,4,2,3,0,2,0.0,0.163,0.35,0.047,0.128,0.0,0.071,0.0,0.143,0.0,0,1,-1,-6,-1,0,1,-2,-1,-1
42,0.551778417434986,282,H,H,H,H,H,0.366,0.22,0.415,0.049,0.171,0.122,0.317,0.122,3,0,0,2,3,2,3,0,0,3,4,2,0,3,0.284,0.121,0.277,0.17,0.223,0.073,0.049,0.024,0.024,0.024,-3,-1,4,-5,0,-4,-4,0,-4,3
30,-0.906490955401671,137,E,E,E,C,C,0.207,0.241,0.552,0.276,0.31,0.138,0.207,0.31,3,3,3,3,0,X,4,3,4,1,3,2,4,X,0.197,0.109,0.19,0.073,0.263,0.138,0.0,0.034,0.034,0.069,-1,-6,0,-6,-3,-2,7,-2,-7,-8
17,0.47908704632327,501,C,C,C,E,E,0.0,0.5,0.5,0.0,0.0,0.062,0.625,0.0,1,0,1,3,3,3,2,1,1,4,4,0,0,3,0.303,0.102,0.174,0.331,0.387,0.0,0.0,0.062,0.375,0.0,-1,3,2,-5,-6,-3,-3,-3,-4,-3
9,-0.620222019076863,102,E,E,E,C,E,0.0,0.75,0.25,0.125,0.125,0.25,0.375,0.125,3,0,3,1,3,3,2,0,4,2,3,3,3,0,0.108,0.284,0.294,0.02,0.245,0.0,0.125,0.0,0.125,0.125,0,4,2,-3,1,0,0,-1,0,-2
